Actual Prices,Prediction Prices,Date
0.376459002,0.3589073,30-03-2023
0.39892301,0.3611722,31-03-2023
0.385387987,0.36551192,01-04-2023
0.381752998,0.37061834,02-04-2023
0.387138993,0.37525153,03-04-2023
0.389683008,0.37912238,04-04-2023
0.392363995,0.38224128,05-04-2023
0.383210003,0.38477704,06-04-2023
0.383643001,0.3862,07-04-2023
0.385634989,0.38653243,08-04-2023
0.389692992,0.38616118,09-04-2023
0.396988988,0.38567942,10-04-2023
0.401455998,0.38581398,11-04-2023
0.406563014,0.3869404,12-04-2023
0.425758988,0.38919044,13-04-2023
0.438329995,0.39340663,14-04-2023
0.453280002,0.39994636,15-04-2023
0.451754987,0.40891236,16-04-2023
0.434166998,0.4190448,17-04-2023
0.443751991,0.42774585,18-04-2023
0.415793002,0.43451887,19-04-2023
0.400730997,0.43737498,20-04-2023
0.382939011,0.43547636,21-04-2023
0.396153003,0.42876336,22-04-2023
0.388999999,0.4197743,23-04-2023
0.383915991,0.41009527,24-04-2023
0.394919008,0.4007489,25-04-2023
0.40149799,0.39327976,26-04-2023
0.409842998,0.3886357,27-04-2023
0.404931992,0.38725984,28-04-2023
0.40278399,0.38826975,29-04-2023
0.397354007,0.39054734,30-04-2023
0.386857003,0.3928873,01-05-2023
0.391772985,0.39403763,02-05-2023
0.393941998,0.39410502,03-05-2023
0.387448013,0.3935521,04-05-2023
0.394683987,0.39233604,05-05-2023
0.380118996,0.39114383,06-05-2023
0.376906008,0.38937503,07-05-2023
0.365828007,0.38686654,08-05-2023
0.363806009,0.38321605,09-05-2023
0.369937003,0.37867537,10-05-2023
0.360038996,0.37422535,11-05-2023
0.370463014,0.36986956,12-05-2023
0.365031004,0.36648947,13-05-2023
0.370761007,0.36404204,14-05-2023
0.367482007,0.36277685,15-05-2023
0.367830008,0.3623717,16-05-2023
0.375425011,0.36254108,17-05-2023
0.372078001,0.36349872,18-05-2023
0.368214995,0.36487034,19-05-2023
0.366356999,0.3660931,20-05-2023
0.360363007,0.36681038,21-05-2023
0.367996991,0.36661056,22-05-2023
0.370483994,0.3660581,23-05-2023
0.364234,0.3656418,24-05-2023
0.358415991,0.3651468,25-05-2023
0.362884015,0.36418134,26-05-2023
0.366773993,0.36305094,27-05-2023
0.382999003,0.36221993,28-05-2023
0.379137993,0.3628321,29-05-2023
0.377934009,0.3646775,30-05-2023
0.374403,0.36717206,31-05-2023
0.36472401,0.36956066,01-06-2023
0.378304005,0.37084466,02-06-2023
0.376028001,0.37170145,03-06-2023
0.377692997,0.37230322,04-06-2023
0.352014989,0.37284088,05-06-2023
0.353715003,0.37177524,06-06-2023
0.322277993,0.36911762,07-06-2023
0.323157012,0.36353785,08-06-2023
0.295401007,0.35569927,09-06-2023
0.276194006,0.34526724,10-06-2023
0.272630006,0.3322977,11-06-2023
0.275047988,0.31802702,12-06-2023
0.274985999,0.30421215,13-06-2023
0.263226002,0.29219025,14-06-2023
0.26195699,0.28206208,15-06-2023
0.263184994,0.2738991,16-06-2023
0.266927987,0.26779267,17-06-2023
0.260962993,0.26384836,18-06-2023
0.263047993,0.26150596,19-06-2023
0.270328999,0.2604144,20-06-2023
0.287,0.26062047,21-06-2023
0.290313005,0.2627664,22-06-2023
0.296481997,0.26674032,23-06-2023
0.290012002,0.27218282,24-06-2023
0.29232499,0.27793348,25-06-2023
0.280353993,0.28325638,26-06-2023
0.286520004,0.28699595,27-06-2023
0.267168999,0.28921774,28-06-2023
0.275563985,0.28911495,29-06-2023
0.286956012,0.2874049,30-06-2023
0.29234001,0.28550744,01-07-2023
0.292055011,0.28442696,02-07-2023
0.296310991,0.28438365,03-07-2023
0.292614996,0.28543475,04-07-2023
0.284471005,0.2870628,05-07-2023
0.279700011,0.28836274,06-07-2023
0.284525007,0.28871673,07-07-2023
0.290650994,0.28837752,08-07-2023
0.284590989,0.28799233,09-07-2023
0.287990987,0.28750867,10-07-2023
0.29281801,0.28713685,11-07-2023
0.28875801,0.28722793,12-07-2023
0.357657999,0.2875725,13-07-2023
0.328801006,0.29193163,14-07-2023
0.326364994,0.29897776,15-07-2023
0.314884007,0.3069054,16-07-2023
0.312489003,0.3136535,17-07-2023
0.307399005,0.3181839,18-07-2023
0.323513001,0.3201026,19-07-2023
0.316092998,0.32074663,20-07-2023
0.313291997,0.3204784,21-07-2023
0.309772015,0.3194911,22-07-2023
0.317162991,0.31787527,23-07-2023
0.305308998,0.31633422,24-07-2023
0.304017007,0.31451723,25-07-2023
0.306641012,0.3123743,26-07-2023
0.307525009,0.31024474,27-07-2023
0.310200989,0.30843335,28-07-2023
0.312765002,0.30723774,29-07-2023
0.315632999,0.3068395,30-07-2023
0.307487994,0.30730307,31-07-2023
0.309951007,0.30794588,01-08-2023
0.299389005,0.30856216,02-08-2023
0.292575985,0.30844444,03-08-2023
0.293388009,0.3071171,04-08-2023
0.293628991,0.30482793,05-08-2023
0.292082012,0.30206499,06-08-2023
0.290295988,0.2992043,07-08-2023
0.297744989,0.29647347,08-08-2023
0.30114001,0.29450333,09-08-2023
0.296130002,0.29366285,10-08-2023
0.293449998,0.29358053,11-08-2023
0.291837007,0.29377243,12-08-2023
0.289530993,0.29388514,13-08-2023
0.290610999,0.2936715,14-08-2023
0.281816989,0.29319537,15-08-2023
0.27453199,0.29208273,16-08-2023
0.255957991,0.2899939,17-08-2023
0.263891995,0.28612104,18-08-2023
0.26837799,0.28124738,19-08-2023
0.270709008,0.2764649,20-08-2023
0.263179004,0.27257323,21-08-2023
0.258365989,0.2694652,22-08-2023
0.267964989,0.26680452,23-08-2023
0.265884012,0.2650264,24-08-2023
0.261079997,0.2640957,25-08-2023
0.260953009,0.26358062,26-08-2023
0.263446003,0.2632331,27-08-2023
0.267434001,0.26308212,28-08-2023
0.272448987,0.26333067,29-08-2023
0.265653998,0.26423317,30-08-2023
0.255373001,0.26531243,31-08-2023
0.255185008,0.26569945,01-09-2023
0.256229997,0.2651839,02-09-2023
0.255793005,0.26400185,03-09-2023
0.256146014,0.2624562,04-09-2023
0.257613987,0.26085743,05-09-2023
0.257667005,0.25950634,06-09-2023
